Salary,Name,POS,Bats,Throws,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
5875000.00,Michael Brantley,OF,L,,Indians,137,596,15,68,84,15,10.10%,8.60%,0.17,0.318,0.31,0.379,0.48,0.368,135,1.4,25.8,-9.1,3.8,4106
6000000.00,Sergio Romo,Closer,,R,Giants,,,,,,,,,,,,,,,,,,,1.8,
6000000.00,Chris Sale,SP,,L,,,,,,,,,,,,,,,,,,,,6.2,
6200000.00,Carlos Santana,1B,S,,Indians,154,666,19,72,85,11,16.20%,18.30%,0.164,0.261,0.231,0.357,0.395,0.331,110,1.3,8.7,-8.3,2.4,2396
6916666.00,Madison Bumgarner,SP,,L,,,,,,,,,,,,,,,,,,,,5.1,
7000000.00,Russell Martin,C,R,,Blue Jays,129,507,23,76,77,4,10.50%,20.90%,0.218,0.262,0.24,0.329,0.458,0.34,114,-4.6,3.7,12.2,3.5,4616
7000000.00,Wade Davis,Closer,,R,Royals,,,,,,,,,,,,,,,,,,,2,
7000000.00,Lance Lynn,SP,,R,,,,,,,,,,,,,,,,,,,,3.1,
7425000.00,Kenley Jansen,Closer,,R,Dodgers,,,,,,,,,,,,,,,,,,,1.7,
7500000.00,Adam Lind,1B,L,,Brewers,149,572,20,72,87,0,11.50%,17.50%,0.183,0.309,0.277,0.36,0.46,0.351,119,-3.1,9.3,-6.3,2.2,8027
7500000.00,Edinson Volquez,SP,,R,,,,,,,,,,,,,,,,,,,,2.6,
7700000.00,Austin Jackson,OF,R,,- - -,136,527,9,56,48,17,5.50%,23.90%,0.118,0.342,0.267,0.311,0.385,0.305,94,0,-3.4,8.3,2.3,9848
8000000.00,Daniel Murphy,2B,L,,Mets,130,538,14,56,73,2,5.80%,7.10%,0.168,0.278,0.281,0.322,0.449,0.325,110,-0.3,5.9,1,2.5,4316
8050000.00,Aroldis Chapman,Closer,,L,Reds,,,,,,,,,,,,,,,,,,,2.5,
8500000.00,A.J. Burnett,SP,,R,,,,,,,,,,,,,,,,,,,,2.8,
8666666.00,Jose Abreu,1B,R,,White Sox,154,668,30,88,101,0,5.80%,21.00%,0.212,0.333,0.29,0.347,0.502,0.361,129,-1,21.1,-14.8,3,15676
8800000.00,Jason Heyward,OF,L,,Cardinals,154,610,13,79,60,23,9.20%,14.80%,0.146,0.329,0.293,0.359,0.439,0.346,121,7,21.6,16.4,6,4940
